AGNO,NOM_REG_RBD_A,COD_ENSE,PROM_NOTAS_ALU,ENSE_COMPLETA,MARCA_EGRESO,cat_periodo,gen_alu,anio_ing_carr_act,nivel_carrera_2
2015,RM,410,5.1,1,1,2022,2,2019,Carreras Profesionales
2015,RM,410,5.6,1,1,2022,2,2020,Carreras Profesionales
2015,LGBO,310,5.2,1,1,2022,2,2019,Carreras Técnicas
2015,VALPO,610,5.6,1,1,2022,2,2019,Carreras Profesionales
2015,RM,363,4.9,1,1,2022,1,2020,Carreras Profesionales
2015,RM,610,6.2,1,1,2022,2,2020,Postítulo
2015,COQ,610,5.4,1,1,2022,1,2020,Carreras Profesionales
2015,RM,610,5.5,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,5.1,1,1,2022,1,2020,Carreras Profesionales
2015,LGBO,410,5.8,1,1,2022,2,2017,Carreras Profesionales
2015,LGBO,410,5.9,1,1,2022,2,2018,Carreras Profesionales
2015,ARAUC,410,4.9,1,1,2022,2,2020,Carreras Profesionales
2015,ARAUC,310,5.4,1,1,2022,2,2017,Carreras Técnicas
2015,ARAUC,363,6.2,1,1,2022,2,2022,Carreras Técnicas
2015,ARAUC,363,5.8,1,1,2022,2,2016,Carreras Profesionales
2015,ARAUC,363,5.9,1,1,2022,1,2018,Carreras Técnicas
2015,VALPO,363,4.7,1,1,2022,2,2020,Carreras Técnicas
2015,ARAUC,310,5.8,1,1,2022,1,2018,Carreras Profesionales
2015,ARAUC,510,6.5,1,1,2022,1,2019,Carreras Técnicas
2015,ARAUC,710,6.2,1,1,2022,2,2021,Carreras Técnicas
2015,ARAUC,310,5.9,1,1,2022,1,2017,Carreras Profesionales
2015,BBIO,310,5.3,1,1,2022,2,2019,Carreras Profesionales
2015,ARAUC,410,6.0,1,1,2022,1,2020,Carreras Profesionales
2015,ARAUC,610,5.2,1,1,2022,2,2020,Carreras Técnicas
2015,RM,310,5.1,1,1,2022,1,2017,Carreras Técnicas
2015,MAULE,363,5.8,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,5.8,1,1,2022,1,2017,Carreras Profesionales
2015,RM,310,5.0,1,1,2022,1,2018,Carreras Técnicas
2015,RM,363,5.9,1,1,2022,2,2017,Carreras Profesionales
2015,RM,363,5.5,1,1,2022,1,2021,Carreras Técnicas
2015,RM,363,4.4,1,1,2022,2,2020,Carreras Técnicas
2015,RM,610,5.7,1,1,2022,2,2016,Carreras Técnicas
2015,RM,310,6.0,1,1,2022,2,2019,Carreras Profesionales
2015,RM,410,5.8,1,1,2022,1,2017,Carreras Técnicas
2015,RM,510,5.7,1,1,2022,1,2018,Carreras Profesionales
2015,RM,410,6.0,1,1,2022,2,2017,Carreras Técnicas
2015,RM,410,5.7,1,1,2022,2,2020,Carreras Técnicas
2015,RM,410,5.6,1,1,2022,1,2016,Carreras Profesionales
2015,RM,610,6.5,1,1,2022,2,2020,Carreras Profesionales
2015,RM,310,6.1,1,1,2022,2,2016,Carreras Técnicas
2015,RM,310,5.9,1,1,2022,2,2016,Carreras Técnicas
2015,ANTOF,310,6.4,1,1,2022,1,2016,Carreras Profesionales
2015,RM,310,6.1,1,1,2022,2,2017,Carreras Profesionales
2015,RM,310,6.5,1,1,2022,2,2022,Postítulo
2015,RM,410,6.3,1,1,2022,2,2016,Carreras Profesionales
2015,AYP,363,6.5,1,1,2022,1,2022,Carreras Técnicas
2015,RM,410,5.6,1,1,2022,2,2021,Carreras Técnicas
2015,BBIO,510,5.5,1,1,2022,1,2016,Carreras Profesionales
2015,RM,310,6.7,1,1,2022,2,2018,Carreras Profesionales
2015,RM,610,4.9,1,1,2022,1,2019,Carreras Técnicas
2015,RM,363,4.3,1,1,2022,1,2017,Carreras Profesionales
2015,MAULE,363,6.1,1,1,2022,2,2018,Carreras Profesionales
2015,MAULE,310,5.9,1,1,2022,1,2016,Carreras Profesionales
2015,MAULE,363,5.3,1,1,2022,2,2020,Carreras Técnicas
2015,MAULE,310,6.0,1,1,2022,1,2016,Carreras Profesionales
2015,MAULE,310,6.9,1,1,2022,2,2016,Carreras Profesionales
2015,BBIO,510,5.6,1,1,2022,2,2018,Carreras Técnicas
2015,LGBO,510,6.2,1,1,2022,2,2021,Carreras Profesionales
2015,MAULE,310,5.6,1,1,2022,1,2019,Carreras Profesionales
2015,LAGOS,310,5.8,1,1,2022,1,2017,Carreras Profesionales
2015,LGBO,310,5.9,1,1,2022,1,2017,Carreras Profesionales
2015,LGBO,310,6.0,1,1,2022,1,2019,Carreras Técnicas
2015,COQ,310,4.9,1,1,2022,1,2018,Carreras Técnicas
2015,LGBO,310,5.7,1,1,2022,2,2022,Postítulo
2015,COQ,310,5.4,1,1,2022,2,2017,Carreras Profesionales
2015,COQ,310,6.1,1,1,2022,1,2016,Carreras Profesionales
2015,MAULE,510,4.6,1,1,2022,1,2020,Carreras Técnicas
2015,MAULE,610,6.2,1,1,2022,2,2021,Carreras Técnicas
2015,MAULE,310,5.6,1,1,2022,1,2016,Carreras Profesionales
2015,MAULE,363,4.7,1,1,2022,2,2020,Carreras Técnicas
2015,MAULE,363,5.1,1,1,2022,1,2020,Carreras Técnicas
2015,MAULE,310,5.2,1,1,2022,2,2016,Carreras Profesionales
2015,MAULE,510,5.5,1,1,2022,1,2017,Carreras Técnicas
2015,MAULE,310,6.0,1,1,2022,1,2017,Carreras Técnicas
2015,MAULE,310,6.0,1,1,2022,2,2020,Carreras Técnicas
2015,MAG,563,6.2,1,1,2022,1,2020,Carreras Técnicas
2015,MAULE,310,6.1,1,1,2022,1,2017,Carreras Profesionales
2015,MAULE,310,6.3,1,1,2022,2,2021,Carreras Profesionales
2015,MAULE,310,5.4,1,1,2022,1,2019,Carreras Técnicas
2015,MAULE,410,5.3,1,1,2022,1,2017,Carreras Profesionales
2015,LGBO,310,5.2,1,1,2022,2,2021,Carreras Técnicas
2015,MAULE,310,5.0,1,1,2022,1,2017,Carreras Profesionales
2015,MAULE,310,4.9,1,1,2022,1,2020,Carreras Técnicas
2015,MAULE,310,6.3,1,1,2022,1,2016,Carreras Profesionales
2015,VALPO,363,4.9,1,1,2022,2,2017,Carreras Profesionales
2015,MAULE,310,6.8,1,1,2022,2,2016,Carreras Profesionales
2015,MAULE,310,5.5,1,1,2022,2,2019,Carreras Técnicas
2015,MAULE,610,5.0,1,1,2022,2,2020,Carreras Técnicas
2015,MAULE,310,5.4,1,1,2022,1,2016,Carreras Profesionales
2015,MAULE,510,5.4,1,1,2022,1,2016,Carreras Técnicas
2015,RM,510,5.3,1,1,2022,1,2017,Carreras Técnicas
2015,BBIO,310,6.1,1,1,2022,2,2017,Carreras Profesionales
2015,MAULE,363,6.1,1,1,2022,1,2018,Carreras Profesionales
2015,MAULE,510,6.0,1,1,2022,1,2016,Carreras Técnicas
2015,MAULE,310,6.3,1,1,2022,2,2017,Carreras Profesionales
2015,MAULE,363,4.9,1,1,2022,2,2018,Carreras Profesionales
2015,RM,310,5.7,1,1,2022,2,2017,Carreras Técnicas
2015,RM,510,5.9,1,1,2022,2,2017,Carreras Profesionales
2015,RM,310,5.4,1,1,2022,2,2018,Carreras Técnicas
2015,AYP,663,5.3,1,1,2022,1,2017,Carreras Profesionales
2015,RM,463,6.1,1,1,2022,2,2016,Carreras Profesionales
2015,RM,510,5.3,1,1,2022,1,2018,Carreras Técnicas
2015,RM,410,6.0,1,1,2022,2,2018,Carreras Técnicas
2015,RIOS,363,4.8,1,1,2022,2,2018,Carreras Técnicas
2015,RM,510,5.9,1,1,2022,1,2019,Carreras Profesionales
2015,RM,410,6.0,1,1,2022,2,2020,Carreras Técnicas
2015,RM,410,5.0,1,1,2022,1,2018,Carreras Profesionales
2015,RM,510,6.0,1,1,2022,1,2020,Carreras Técnicas
2015,RM,410,5.9,1,1,2022,2,2020,Carreras Técnicas
2015,MAULE,510,5.3,1,1,2022,1,2020,Carreras Técnicas
2015,MAULE,710,6.0,1,1,2022,2,2017,Carreras Profesionales
2015,MAULE,710,5.3,1,1,2022,1,2019,Carreras Profesionales
2015,MAULE,410,5.2,1,1,2022,2,2020,Carreras Profesionales
2015,MAULE,510,5.7,1,1,2022,2,2017,Carreras Profesionales
2015,LGBO,310,5.3,1,1,2022,1,2020,Carreras Profesionales
2015,MAULE,510,4.5,1,1,2022,1,2022,Carreras Técnicas
2015,MAULE,310,5.2,1,1,2022,2,2019,Carreras Técnicas
2015,MAULE,610,6.3,1,1,2022,2,2018,Carreras Técnicas
2015,MAULE,310,6.3,1,1,2022,2,2019,Carreras Técnicas
2015,MAULE,410,6.7,1,1,2022,2,2017,Carreras Profesionales
2015,MAULE,410,6.3,1,1,2022,2,2018,Carreras Profesionales
2015,MAULE,410,5.5,1,1,2022,1,2017,Carreras Técnicas
2015,MAULE,710,5.4,1,1,2022,1,2020,Carreras Técnicas
2015,MAULE,610,5.7,1,1,2022,2,2020,Carreras Técnicas
2015,MAULE,410,6.3,1,1,2022,2,2016,Carreras Profesionales
2015,COQ,310,5.6,1,1,2022,1,2018,Carreras Técnicas
2015,VALPO,310,5.4,1,1,2022,1,2019,Carreras Técnicas
2015,AYP,710,5.7,1,1,2022,1,2021,Carreras Técnicas
2015,ANTOF,310,5.7,1,1,2022,1,2018,Carreras Profesionales
2015,ATCMA,310,5.8,1,1,2022,2,2017,Carreras Profesionales
2015,VALPO,610,6.0,1,1,2022,2,2020,Carreras Profesionales
2015,VALPO,410,6.3,1,1,2022,2,2019,Carreras Técnicas
2015,VALPO,363,5.5,1,1,2022,2,2019,Carreras Profesionales
2015,VALPO,310,5.8,1,1,2022,1,2016,Carreras Técnicas
2015,VALPO,310,5.7,1,1,2022,1,2018,Carreras Técnicas
2015,VALPO,610,6.3,1,1,2022,2,2021,Carreras Técnicas
2015,VALPO,310,5.7,1,1,2022,1,2017,Carreras Profesionales
2015,VALPO,363,5.1,1,1,2022,1,2021,Carreras Técnicas
2015,VALPO,310,5.3,1,1,2022,1,2020,Carreras Profesionales
2015,VALPO,363,6.7,1,1,2022,1,2019,Carreras Profesionales
2015,VALPO,710,4.6,1,1,2022,1,2020,Carreras Profesionales
2015,VALPO,310,4.9,1,1,2022,2,2019,Carreras Técnicas
2015,ANTOF,363,5.3,1,1,2022,1,2018,Carreras Técnicas
2015,ANTOF,410,5.5,1,1,2022,2,2019,Carreras Profesionales
2015,ANTOF,363,5.8,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,310,5.4,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,410,5.8,1,1,2022,2,2017,Carreras Profesionales
2015,ANTOF,663,6.0,1,1,2022,2,2020,Carreras Profesionales
2015,ATCMA,610,5.4,1,1,2022,1,2017,Carreras Profesionales
2015,ATCMA,363,5.7,1,1,2022,1,2017,Carreras Técnicas
2015,ANTOF,310,5.4,1,1,2022,1,2017,Carreras Profesionales
2015,ATCMA,310,6.1,1,1,2022,1,2016,Carreras Profesionales
2015,ANTOF,363,5.1,1,1,2022,2,2016,Carreras Profesionales
2015,ANTOF,310,4.8,1,1,2022,1,2019,Carreras Técnicas
2015,ANTOF,410,5.5,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,310,5.5,1,1,2022,1,2016,Carreras Profesionales
2015,ANTOF,310,5.7,1,1,2022,2,2016,Carreras Profesionales
2015,ANTOF,410,5.3,1,1,2022,1,2017,Carreras Profesionales
2015,ANTOF,410,5.6,1,1,2022,1,2016,Carreras Técnicas
2015,ANTOF,510,6.7,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,310,5.2,1,1,2022,2,2017,Carreras Profesionales
2015,ANTOF,363,6.4,1,1,2022,2,2022,Postítulo
2015,ANTOF,610,6.1,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,410,4.9,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,310,5.9,1,1,2022,1,2016,Carreras Profesionales
2015,ANTOF,510,5.1,1,1,2022,1,2016,Carreras Profesionales
2015,ANTOF,310,5.1,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,310,6.2,1,1,2022,2,2017,Carreras Profesionales
2015,ANTOF,510,6.1,1,1,2022,2,2019,Carreras Técnicas
2015,LAGOS,610,5.6,1,1,2022,2,2017,Carreras Profesionales
2015,LAGOS,310,6.5,1,1,2022,2,2022,Postítulo
2015,LAGOS,510,6.1,1,1,2022,1,2016,Carreras Profesionales
2015,LAGOS,610,5.7,1,1,2022,1,2020,Magister
2015,LAGOS,310,6.8,1,1,2022,1,2019,Carreras Profesionales
2015,LAGOS,310,6.2,1,1,2022,2,2018,Carreras Profesionales
2015,LAGOS,310,6.6,1,1,2022,2,2022,Postítulo
2015,LAGOS,310,7.0,1,1,2022,1,2016,Carreras Profesionales
2015,LAGOS,310,6.3,1,1,2022,2,2017,Carreras Profesionales
2015,LAGOS,410,5.7,1,1,2022,2,2022,Postítulo
2015,LAGOS,310,6.5,1,1,2022,2,2016,Carreras Profesionales
2015,LAGOS,310,5.5,1,1,2022,1,2020,Carreras Profesionales
2015,LAGOS,610,6.7,1,1,2022,2,2017,Carreras Profesionales
2015,LAGOS,610,5.4,1,1,2022,1,2021,Carreras Profesionales
2015,LAGOS,363,6.1,1,1,2022,2,2020,Carreras Técnicas
2015,ARAUC,410,6.2,1,1,2022,2,2017,Carreras Profesionales
2015,VALPO,610,5.6,1,1,2022,2,2016,Carreras Profesionales
2015,ARAUC,310,6.2,1,1,2022,2,2016,Carreras Profesionales
2015,ARAUC,310,6.8,1,1,2022,2,2016,Carreras Profesionales
2015,LAGOS,310,6.1,1,1,2022,2,2022,Carreras Técnicas
2015,BBIO,310,6.5,1,1,2022,2,2022,Postítulo
2015,COQ,310,5.2,1,1,2022,1,2018,Carreras Profesionales
2015,ATCMA,310,6.3,1,1,2022,2,2017,Carreras Profesionales
2015,ATCMA,310,6.2,1,1,2022,1,2019,Carreras Profesionales
2015,ATCMA,310,6.3,1,1,2022,1,2018,Carreras Técnicas
2015,ATCMA,510,6.5,1,1,2022,1,2018,Carreras Profesionales
2015,RM,363,4.6,1,1,2022,2,2018,Carreras Profesionales
2015,LGBO,310,6.5,1,1,2022,1,2018,Carreras Profesionales
2015,RM,310,5.7,1,1,2022,1,2020,Magister
2015,RM,310,5.6,1,1,2022,2,2022,Postítulo
2015,RM,363,6.3,1,1,2022,1,2018,Carreras Profesionales
2015,RM,310,4.8,1,1,2022,1,2017,Carreras Profesionales
2015,NUBLE,410,6.7,1,1,2022,2,2021,Carreras Profesionales
2015,NUBLE,310,5.5,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,410,6.3,1,1,2022,2,2020,Carreras Técnicas
2015,ANTOF,510,5.9,1,1,2022,1,2021,Carreras Técnicas
2015,ANTOF,510,5.9,1,1,2022,1,2016,Carreras Profesionales
2015,VALPO,310,5.4,1,1,2022,2,2016,Carreras Profesionales
2015,RM,310,5.3,1,1,2022,2,2017,Carreras Profesionales
2015,AYP,310,5.0,1,1,2022,2,2020,Carreras Técnicas
2015,VALPO,810,5.6,1,1,2022,1,2018,Carreras Profesionales
2015,VALPO,310,4.8,1,1,2022,1,2017,Carreras Profesionales
2015,VALPO,363,4.9,1,1,2022,1,2018,Carreras Técnicas
2015,RM,710,5.4,1,1,2022,1,2019,Carreras Profesionales
2015,VALPO,363,5.3,1,1,2022,2,2019,Carreras Técnicas
2015,VALPO,363,5.8,1,1,2022,2,2020,Carreras Técnicas
2015,VALPO,310,6.1,1,1,2022,1,2020,Carreras Técnicas
2015,VALPO,363,6.5,1,1,2022,2,2020,Carreras Técnicas
2015,VALPO,363,5.9,1,1,2022,1,2017,Carreras Técnicas
2015,VALPO,310,5.1,1,1,2022,2,2020,Carreras Técnicas
2015,VALPO,810,5.3,1,1,2022,2,2020,Carreras Técnicas
2015,VALPO,510,6.1,1,1,2022,1,2022,Carreras Técnicas
2015,ANTOF,310,6.1,1,1,2022,2,2018,Carreras Profesionales
2015,VALPO,310,5.3,1,1,2022,2,2019,Carreras Profesionales
2015,VALPO,310,5.8,1,1,2022,1,2019,Carreras Profesionales
2015,VALPO,410,5.3,1,1,2022,2,2019,Carreras Técnicas
2015,VALPO,310,5.6,1,1,2022,1,2022,Postítulo
2015,VALPO,810,6.9,1,1,2022,1,2021,Carreras Profesionales
2015,VALPO,363,6.9,1,1,2022,2,2016,Carreras Profesionales
2015,COQ,310,5.6,1,1,2022,2,2019,Carreras Técnicas
2015,COQ,310,6.2,1,1,2022,1,2020,Magister
2015,VALPO,363,6.0,1,1,2022,1,2020,Carreras Técnicas
2015,RM,363,5.1,1,1,2022,2,2017,Carreras Técnicas
2015,RM,410,5.4,1,1,2022,2,2020,Carreras Técnicas
2015,RM,310,5.3,1,1,2022,2,2019,Carreras Técnicas
2015,RM,310,5.9,1,1,2022,1,2019,Carreras Técnicas
2015,RM,610,6.1,1,1,2022,2,2018,Carreras Profesionales
2015,RM,363,6.3,1,1,2022,1,2020,Carreras Profesionales
2015,RM,363,5.4,1,1,2022,1,2019,Carreras Profesionales
2015,RM,310,5.6,1,1,2022,1,2020,Carreras Técnicas
2015,RM,310,5.1,1,1,2022,1,2021,Carreras Técnicas
2015,MAULE,363,6.5,1,1,2022,1,2018,Carreras Técnicas
2015,RM,363,4.7,1,1,2022,1,2019,Carreras Técnicas
2015,RM,310,4.8,1,1,2022,2,2017,Carreras Profesionales
2015,RM,363,4.3,1,1,2022,1,2022,Carreras Técnicas
2015,AYSEN,363,5.8,1,1,2022,1,2016,Carreras Técnicas
2015,RM,310,5.0,1,1,2022,2,2017,Carreras Profesionales
2015,RM,310,5.0,1,1,2022,1,2020,Carreras Técnicas
2015,RM,310,6.8,1,1,2022,1,2020,Magister
2015,MAULE,710,5.9,1,1,2022,2,2020,Carreras Técnicas
2015,RM,363,5.5,1,1,2022,1,2016,Carreras Profesionales
2015,RM,310,5.1,1,1,2022,1,2019,Carreras Técnicas
2015,RM,363,6.2,1,1,2022,1,2020,Carreras Profesionales
2015,RM,510,5.8,1,1,2022,2,2019,Carreras Profesionales
2015,RM,363,5.8,1,1,2022,2,2020,Carreras Profesionales
2015,MAULE,363,6.3,1,1,2022,2,2021,Carreras Técnicas
2015,MAULE,363,5.5,1,1,2022,1,2017,Carreras Profesionales
2015,MAULE,610,6.4,1,1,2022,2,2017,Carreras Profesionales
2015,MAULE,310,5.9,1,1,2022,2,2017,Carreras Profesionales
2015,MAULE,310,6.1,1,1,2022,2,2018,Carreras Técnicas
2015,MAULE,310,5.6,1,1,2022,2,2017,Carreras Profesionales
2015,MAULE,410,5.2,1,1,2022,1,2018,Carreras Profesionales
2015,MAULE,610,5.6,1,1,2022,1,2020,Carreras Técnicas
2015,ARAUC,310,5.3,1,1,2022,1,2017,Carreras Profesionales
2015,RM,510,5.1,1,1,2022,2,2018,Carreras Técnicas
2015,RM,310,5.4,1,1,2022,1,2022,Postítulo
2015,LGBO,410,5.8,1,1,2022,1,2020,Carreras Técnicas
2015,RM,510,4.7,1,1,2022,1,2018,Carreras Técnicas
2015,LAGOS,363,5.1,1,1,2022,1,2018,Carreras Técnicas
2015,RM,510,5.3,1,1,2022,1,2020,Carreras Técnicas
2015,RM,510,5.0,1,1,2022,1,2020,Carreras Técnicas
2015,RM,510,6.2,1,1,2022,1,2018,Carreras Técnicas
2015,RM,310,6.9,1,1,2022,1,2019,Carreras Profesionales
2015,LAGOS,410,6.7,1,1,2022,1,2021,Magister
2015,ARAUC,363,4.8,1,1,2022,2,2016,Carreras Técnicas
2015,ARAUC,310,6.4,1,1,2022,2,2016,Carreras Profesionales
2015,ARAUC,310,6.9,1,1,2022,1,2016,Carreras Profesionales
2015,ARAUC,510,5.8,1,1,2022,2,2016,Carreras Técnicas
2015,NUBLE,410,6.1,1,1,2022,2,2021,Carreras Técnicas
2015,NUBLE,410,5.6,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,310,5.3,1,1,2022,2,2022,Postítulo
2015,COQ,310,6.1,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,310,5.2,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,410,5.6,1,1,2022,1,2019,Carreras Profesionales
2015,NUBLE,310,5.2,1,1,2022,2,2016,Carreras Profesionales
2015,NUBLE,310,5.9,1,1,2022,1,2017,Carreras Profesionales
2015,NUBLE,410,5.6,1,1,2022,2,2020,Carreras Técnicas
2015,NUBLE,410,6.4,1,1,2022,2,2018,Carreras Profesionales
2015,ANTOF,363,6.3,1,1,2022,2,2020,Carreras Profesionales
2015,NUBLE,363,5.6,1,1,2022,2,2018,Carreras Técnicas
2015,NUBLE,310,4.9,1,1,2022,2,2019,Carreras Técnicas
2015,MAG,363,5.5,1,1,2022,1,2020,Carreras Técnicas
2015,NUBLE,510,6.0,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,310,5.2,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,310,6.2,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,363,6.1,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,363,5.5,1,1,2022,2,2020,Carreras Técnicas
2015,NUBLE,410,6.2,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,410,5.6,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,310,5.4,1,1,2022,2,2016,Carreras Profesionales
2015,NUBLE,310,5.9,1,1,2022,2,2016,Carreras Profesionales
2015,NUBLE,510,5.7,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,510,5.7,1,1,2022,1,2016,Carreras Técnicas
2015,NUBLE,510,5.0,1,1,2022,2,2016,Carreras Técnicas
2015,NUBLE,310,5.8,1,1,2022,1,2021,Carreras Técnicas
2015,NUBLE,610,6.1,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,410,6.5,1,1,2022,2,2016,Carreras Profesionales
2015,MAULE,610,6.2,1,1,2022,2,2020,Carreras Técnicas
2015,NUBLE,310,5.2,1,1,2022,2,2019,Carreras Profesionales
2015,NUBLE,510,5.6,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,410,6.7,1,1,2022,1,2017,Carreras Profesionales
2015,NUBLE,310,5.9,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,310,5.8,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,610,5.4,1,1,2022,2,2019,Carreras Técnicas
2015,NUBLE,310,5.9,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,310,5.5,1,1,2022,1,2022,Carreras Profesionales
2015,NUBLE,310,5.5,1,1,2022,1,2016,Carreras Profesionales
2015,MAULE,310,6.9,1,1,2022,2,2020,Carreras Profesionales
2015,NUBLE,310,6.8,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,310,6.1,1,1,2022,2,2016,Carreras Profesionales
2015,NUBLE,310,6.2,1,1,2022,2,2016,Carreras Profesionales
2015,NUBLE,310,6.1,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,610,5.8,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,310,5.5,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,310,5.5,1,1,2022,1,2016,Carreras Técnicas
2015,BBIO,710,6.7,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,510,5.1,1,1,2022,1,2019,Carreras Técnicas
2015,NUBLE,410,6.6,1,1,2022,2,2022,Postítulo
2015,RM,310,6.8,1,1,2022,2,2019,Carreras Técnicas
2015,NUBLE,310,5.7,1,1,2022,2,2021,Carreras Técnicas
2015,LGBO,310,6.9,1,1,2022,2,2016,Carreras Profesionales
2015,NUBLE,310,6.1,1,1,2022,2,2018,Carreras Profesionales
2015,NUBLE,310,5.4,1,1,2022,1,2016,Carreras Profesionales
2015,RM,310,6.2,1,1,2022,2,2019,Carreras Profesionales
2015,NUBLE,610,5.4,1,1,2022,2,2018,Carreras Técnicas
2015,NUBLE,310,6.3,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,310,6.0,1,1,2022,2,2018,Carreras Profesionales
2015,NUBLE,310,6.3,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,410,5.9,1,1,2022,2,2016,Carreras Técnicas
2015,NUBLE,410,6.0,1,1,2022,2,2019,Carreras Profesionales
2015,NUBLE,410,5.6,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,310,5.9,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,410,6.3,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,310,5.7,1,1,2022,1,2018,Carreras Profesionales
2015,NUBLE,310,5.6,1,1,2022,2,2019,Carreras Técnicas
2015,RM,310,6.0,1,1,2022,1,2019,Carreras Profesionales
2015,NUBLE,363,5.5,1,1,2022,2,2018,Carreras Profesionales
2015,RM,310,6.7,1,1,2022,1,2020,Carreras Profesionales
2015,NUBLE,410,5.5,1,1,2022,1,2021,Carreras Técnicas
2015,NUBLE,310,5.4,1,1,2022,1,2020,Carreras Técnicas
2015,NUBLE,410,6.4,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,310,6.4,1,1,2022,1,2017,Carreras Profesionales
2015,BBIO,310,6.2,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,410,5.4,1,1,2022,2,2017,Carreras Profesionales
2015,NUBLE,310,6.2,1,1,2022,1,2020,Carreras Profesionales
2015,NUBLE,610,6.3,1,1,2022,2,2016,Carreras Profesionales
2015,NUBLE,310,6.4,1,1,2022,2,2018,Carreras Profesionales
2015,NUBLE,310,6.5,1,1,2022,1,2017,Carreras Profesionales
2015,LGBO,410,5.6,1,1,2022,1,2019,Carreras Profesionales
2015,NUBLE,410,5.6,1,1,2022,1,2021,Carreras Profesionales
2015,NUBLE,410,5.6,1,1,2022,1,2017,Carreras Técnicas
2015,NUBLE,510,6.9,1,1,2022,2,2016,Carreras Profesionales
2015,NUBLE,310,5.8,1,1,2022,1,2016,Carreras Profesionales
2015,NUBLE,310,6.5,1,1,2022,1,2020,Magister
2015,RM,310,5.3,1,1,2022,1,2016,Carreras Técnicas
2015,RM,363,4.7,1,1,2022,1,2019,Carreras Profesionales
2015,RM,410,5.9,1,1,2022,2,2018,Carreras Técnicas
2015,RM,510,4.9,1,1,2022,2,2016,Carreras Profesionales
2015,RM,310,5.4,1,1,2022,2,2019,Carreras Profesionales
2015,RM,510,5.5,1,1,2022,1,2016,Carreras Técnicas
2015,RM,510,5.4,1,1,2022,1,2016,Carreras Técnicas
2015,RM,310,5.8,1,1,2022,2,2021,Magister
2015,RM,610,6.7,1,1,2022,2,2016,Carreras Profesionales
2015,RM,310,5.6,1,1,2022,2,2017,Carreras Técnicas
2015,RM,510,4.9,1,1,2022,1,2020,Carreras Técnicas
2015,LGBO,310,5.4,1,1,2022,1,2017,Carreras Técnicas
2015,RM,610,5.4,1,1,2022,1,2020,Carreras Técnicas
2015,LGBO,510,6.0,1,1,2022,1,2018,Carreras Profesionales
2015,RM,310,6.3,1,1,2022,2,2020,Carreras Técnicas
2015,RM,610,6.4,1,1,2022,2,2017,Carreras Técnicas
2015,RM,363,5.0,1,1,2022,2,2018,Carreras Técnicas
2015,AYP,310,5.7,1,1,2022,2,2022,Postítulo
2015,AYP,310,5.7,1,1,2022,2,2018,Carreras Profesionales
2015,RM,363,6.0,1,1,2022,2,2021,Carreras Técnicas
2015,RM,310,5.8,1,1,2022,2,2020,Carreras Profesionales
2015,RM,310,5.2,1,1,2022,2,2021,Carreras Profesionales
2015,RM,363,5.4,1,1,2022,2,2018,Carreras Técnicas
2015,MAULE,310,6.7,1,1,2022,1,2017,Carreras Profesionales
2015,RM,510,6.6,1,1,2022,1,2017,Carreras Profesionales
2015,TPCA,310,6.6,1,1,2022,1,2016,Carreras Profesionales
2015,RM,410,5.2,1,1,2022,2,2021,Carreras Técnicas
